date,year,month,month_name,tmax,tmin,rain,sun,tmean,tdelta,season,season_year,season_mean_temp,season_mean_tdelta,season_total_rain,season_total_sun,season_rolling_10y_temp,season_rolling_10y_tdelta,season_rolling_10y_rain,season_rolling_10y_sun
1982-06-01,1982,6,June,21.5,12.8,84.6,182.1,17.15,8.7,Summer,1982,17.583333333333332,9.1,148.8,515.0,17.11,9.32,140.56,575.28
1982-07-01,1982,7,July,22.7,13.4,24.5,164.0,18.05,9.299999999999999,Summer,1982,17.583333333333332,9.1,148.8,515.0,17.11,9.32,140.56,575.28
1982-08-01,1982,8,August,22.2,12.9,39.7,168.9,17.55,9.299999999999999,Summer,1982,17.583333333333332,9.1,148.8,515.0,17.11,9.32,140.56,575.28
1982-09-01,1982,9,September,20.8,11.1,39.6,156.0,15.95,9.700000000000001,Autumn,1982,11.9,7.066666666666666,221.6,281.1,11.223333333333334,7.386666666666666,180.1,318.97999999999996
1982-10-01,1982,10,October,14.1,7.8,109.1,69.6,10.95,6.3,Autumn,1982,11.9,7.066666666666666,221.6,281.1,11.223333333333334,7.386666666666666,180.1,318.97999999999996
1982-11-01,1982,11,November,11.4,6.2,72.9,55.5,8.8,5.2,Autumn,1982,11.9,7.066666666666666,221.6,281.1,11.223333333333334,7.386666666666666,180.1,318.97999999999996
1982-12-01,1982,12,December,8.2,1.9,63.6,50.0,5.05,6.299999999999999,Winter,1983,4.8999999999999995,6.0,141.8,186.7,4.819999999999999,5.9799999999999995,148.76000000000002,165.65
1983-01-01,1983,1,January,10.0,4.3,47.2,51.4,7.15,5.7,Winter,1983,4.8999999999999995,6.0,141.8,186.7,4.819999999999999,5.9799999999999995,148.76000000000002,165.65
1983-02-01,1983,2,February,5.5,-0.5,31.0,85.3,2.5,6.0,Winter,1983,4.8999999999999995,6.0,141.8,186.7,4.819999999999999,5.9799999999999995,148.76000000000002,165.65
1983-03-01,1983,3,March,10.8,3.0,33.7,93.4,6.9,7.800000000000001,Spring,1983,8.816666666666668,8.233333333333333,208.10000000000002,375.6,9.248333333333333,8.216666666666667,152.77000000000004,432.86
1983-04-01,1983,4,April,12.4,3.6,101.5,145.4,8.0,8.8,Spring,1983,8.816666666666668,8.233333333333333,208.10000000000002,375.6,9.248333333333333,8.216666666666667,152.77000000000004,432.86
1983-05-01,1983,5,May,15.6,7.5,72.9,136.8,11.55,8.1,Spring,1983,8.816666666666668,8.233333333333333,208.10000000000002,375.6,9.248333333333333,8.216666666666667,152.77000000000004,432.86
